 2021-12-13T18:05:04.309Z INFO  run > Using area: 2013265923TYPE299
 2021-12-13T18:05:04.309Z INFO  run > Using mode simulate for area '2013265923TYPE299'
 2021-12-13T18:05:04.309Z INFO  run > Loading data from disk...
 2021-12-13T18:05:04.313Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks101ew_population_144.csv'
 2021-12-13T18:05:07.842Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/ks608uk_occupation_count_NM_1518_1.csv'
 2021-12-13T18:05:08.276Z INFO  load_census_data > Fetching table 'data/copy/tables/2013265923TYPE299/wf01bew_residential_vs_workplace_NM_1228_1.csv'
 2021-12-13T18:05:09.100Z INFO  run              > Finished loading data in 4.791217062s,     Now Initialising  simulator
 2021-12-13T18:05:09.100Z DEBUG sim::simulator   > Current memory usage: 2.241 GB
 2021-12-13T18:05:09.101Z INFO  sim::models      > Loading map data from file...
 2021-12-13T18:05:10.399Z INFO  sim::models      > Finished loading map data in 1.297487093s
 2021-12-13T18:05:10.399Z INFO  sim::simulator   > Loaded map data in 1.29846196s
 2021-12-13T18:05:20.942Z INFO  sim::simulator   > Built residential population in 11.84226115s
 2021-12-13T18:05:20.942Z DEBUG sim::simulator   > Current memory usage: 4.131 GB
 2021-12-13T18:05:25.381Z INFO  sim::simulator   > Generated workplaces in 16.28118846s
 2021-12-13T18:05:25.381Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z INFO  sim::simulator   > Initialization completed in 16.315647 seconds
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Current memory usage: 4.266 GB
 2021-12-13T18:05:25.416Z DEBUG sim::simulator   > Starting Statistics:
      There are 5249772 total Citizens
      17246 Output Areas
 2021-12-13T18:05:25.468Z INFO  run              > Initialised simulator, starting sim...
 2021-12-13T18:05:25.468Z INFO  sim::simulator   > Starting simulation...
Completed     10 time steps, in: 0.00 seconds  Statistics: Hour:    0, Total:        0, Susceptible:        0, Exposed:        0, Infected:        0, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 1.24 seconds  Statistics: Hour:  320, Total:  5249772, Susceptible:  5194266, Exposed:    47771, Infected:     7735, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 5.31 seconds  Statistics: Hour:  330, Total:  5249772, Susceptible:  4909930, Exposed:   285972, Infected:    53870, Recovered:        0 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 2.39 seconds  Statistics: Hour:  340, Total:  5249772, Susceptible:  4864770, Exposed:   331090, Infected:    53902, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 5.04 seconds  Statistics: Hour:  350, Total:  5249772, Susceptible:  4858837, Exposed:   335560, Infected:    55365, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 3.79 seconds  Statistics: Hour:  360, Total:  5249772, Susceptible:  4854453, Exposed:   339841, Infected:    55468, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 3.77 seconds  Statistics: Hour:  370, Total:  5249772, Susceptible:  4854249, Exposed:   340033, Infected:    55480, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 4.94 seconds  Statistics: Hour:  380, Total:  5249772, Susceptible:  4854119, Exposed:   340147, Infected:    55496, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 2.53 seconds  Statistics: Hour:  390, Total:  5249772, Susceptible:  4854106, Exposed:   340160, Infected:    55496, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 5.65 seconds  Statistics: Hour:  400, Total:  5249772, Susceptible:  4854104, Exposed:   340162, Infected:    55496, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 3.15 seconds  Statistics: Hour:  410, Total:  5249772, Susceptible:  4854104, Exposed:   340162, Infected:    55496, Recovered:       10 Vaccinated:        0,   Memory usage: 4.266 GB
Completed     10 time steps, in: 9.53 seconds  Statistics: Hour:  420, Total:  5249772, Susceptible:  4854104, Exposed:   177630, Infected:   218028, Recovered:       10 Vaccinated:        0,   Memory usage: 4.282 GB
